sampleID,nn_score,cent_dist,avg_dist,avg_dist_weighted,x_cent,y_cent,base_cent_dist,num_nn_averaged,init_num_nn,init_nn_score,per_diff_num_nn
sample_706,0.0,0.0388113917236535,0.0001154040376527,6.223638394216823e-07,-2.8878463602155473,3.003729974413873,0.0277969949527252,7,8,0.0,0.125
sample_211,0.0,0.0140107403414206,0.0002791569479792,1.505468902815854e-06,-2.8836562944745743,2.998651758074523,0.0242075134913598,7,19,0.5457894736842105,0.631578947368421
sample_330,0.0,0.0176059743806012,0.0002649482618573,1.4288427064724664e-06,-2.883681476171564,2.9980404962959244,0.027735612829422,7,12,0.3241666666666666,0.4166666666666667
sample_1160,0.0,0.0616351323237803,0.0085695576586024,7.262336998815674e-05,-2.481386407052987,4.210033657268688,0.0780961380998242,11,13,0.0869230769230769,0.1538461538461538
sample_217,0.0,0.0104113869860883,0.0002901449312218,1.5647261313967778e-06,-2.884295443936043,2.9987162260171374,0.0205857125872899,7,14,0.4142857142857142,0.5
sample_1125,0.0,0.053842910374184,0.0488195518216978,0.0005641704755974,-0.9762694103654128,-1.108535954766109,0.0838156290025203,15,21,0.2361904761904762,0.2857142857142857
sample_874,0.0,0.2626449947114576,0.0752389311716733,0.0030721597473795,1.7863066188736152,6.113547760298128,0.2796311792605662,53,57,0.0303508771929824,0.0701754385964912
sample_1032,0.0,0.0726397957116177,0.0038852907278605,2.9932902371807292e-05,-2.5078506448777578,4.227673846566196,0.0603541516519595,10,12,0.1099999999999999,0.1666666666666666
sample_705,0.0,0.0884029531527762,0.0001154040376527,6.223638394216823e-07,-2.8878463602155473,3.003729974413873,0.0835634883383805,7,8,0.0,0.125
sample_1119,0.0,0.2104215639898984,0.0591881892829447,0.0006839929424069,0.5686932354597015,-1.3264389991303702,0.2239364986654785,15,30,0.43,0.5
sample_1061,0.0,0.3335603119121152,0.0770311767174239,0.0032046868588142,1.7765543330834197,6.109099353672032,0.3528389002833254,54,59,0.0459322033898305,0.0847457627118644
sample_104,0.0,0.0123065571540569,0.0002847631349703,1.5357025768817708e-06,-2.8841282644141515,2.998539725576347,0.0224822392261693,7,23,0.6430434782608695,0.6956521739130435
sample_1279,0.0,0.1624511093941217,0.0066869348747015,5.666893961611509e-05,-2.475376379350361,4.204004117817059,0.1794383541213054,11,13,0.0876923076923077,0.1538461538461538
sample_657,0.0,0.0023872291298182,0.0003029821957288,1.6339563714190138e-06,-2.8850183492954344,3.000136819316267,0.0083610435470742,7,19,0.5452631578947368,0.631578947368421
sample_1111,0.0,0.1784529090188346,0.0275154252032898,0.0009963212515829,2.0887739694366445,-5.928594236354925,0.1775110518126037,47,51,0.0305882352941176,0.0784313725490196
sample_100,0.0,0.0207580754842412,0.0002498323413674,1.3473238748629246e-06,-2.8867852659920925,3.0016677268579803,0.0100542217804422,7,25,0.6616,0.72
sample_812,0.0001851851851851,0.1340899074257273,0.078726868703822,0.0032739187423844,1.7813995854282758,6.111677636768691,0.1548831493149197,54,58,0.0286206896551724,0.0689655172413793
sample_904,0.0002083333333333,0.0483711508857352,0.0310860900685862,0.0011487306638214,2.089195139378932,-5.920115338976904,0.027677449488149,48,51,0.0205882352941176,0.0588235294117647
sample_1004,0.0002127659574468,0.4097412106103624,0.0259224263395955,0.0009378123030571,2.088842399333045,-5.921034211507504,0.3969408652294863,47,51,0.0256862745098039,0.0784313725490196
sample_121,0.0002127659574468,0.0666611141024852,0.0280861544577409,0.0010161795221815,2.0908489677758877,-5.927318827392685,0.0734201088255585,47,51,0.0266666666666666,0.0784313725490196
sample_1012,0.0003703703703703,0.1530979830740608,0.0786272816231078,0.0032684614406084,1.779178732622193,6.11143386484531,0.1783910669706727,54,57,0.0070175438596491,0.0526315789473684
sample_1233,0.0004255319148936,0.018186440627476,0.0281720920696346,0.0010184880148562,2.0919619222335877,-5.927526434235779,0.0163799847529486,47,51,0.040392156862745,0.0784313725490196
sample_451,0.0004255319148936,0.1621055999521384,0.0276318230918451,0.0009988954563295,2.090608156197253,-5.924001987432918,0.1858850612712689,47,51,0.032156862745098,0.0784313725490196
sample_830,0.0005555555555555,0.2454419471744758,0.0779602607224141,0.0032390078094395,1.7840730431246992,6.1165741719921725,0.2274268846967064,54,58,0.0213793103448275,0.0689655172413793
sample_847,0.0005555555555555,0.219319572404425,0.0781805529202309,0.0032484783723676,1.7834673885877732,6.116512183598772,0.2001328169337593,54,59,0.0381355932203389,0.0847457627118644
sample_668,0.0005555555555555,0.2758278891052355,0.0776715319281799,0.0032278778045994,1.7829021835104135,6.118219034533091,0.253513736943269,54,58,0.0296551724137931,0.0689655172413793
sample_25,0.000625,0.1386318065300625,0.0307417934498131,0.0011351531925317,2.091256480763404,-5.920455743138984,0.1220718791626028,48,51,0.0096078431372549,0.0588235294117647
sample_12,0.000625,0.1171590581918653,0.0308538812163678,0.0011392836491471,2.090930982563434,-5.920087679577625,0.1076417569512435,48,51,0.0258823529411764,0.0588235294117647
sample_259,0.000625,0.1447502848013362,0.0307058330968614,0.0011330840142212,2.0857693062677214,-5.919575967872674,0.1487806797724453,48,51,0.0241176470588235,0.0588235294117647
sample_437,0.0006382978723404,0.1237377370215786,0.0278589248957393,0.0010063553601312,2.0914586630300698,-5.929347377102691,0.1069945911485836,47,51,0.0366666666666666,0.0784313725490196
sample_144,0.0007407407407407,0.1749882351938067,0.0784994544419111,0.0032603712899887,1.7799335226426751,6.117268066140199,0.1469984994662417,54,57,0.0031578947368421,0.0526315789473684
sample_619,0.000754716981132,0.1933980129696892,0.0758224862186477,0.0030918796657021,1.7885102846874468,6.11495037672856,0.2075558623396697,53,57,0.0314035087719298,0.0701754385964912
sample_252,0.0008333333333333,0.2029071853617587,0.0302939411412454,0.0011169219405359,2.092353966541567,-5.921230714380987,0.1835044500350399,48,52,0.0278846153846153,0.0769230769230769
sample_117,0.0008333333333333,0.2456189385259965,0.029902487694678,0.001102464273655,2.084392069485085,-5.916702323005319,0.2666937192264305,48,51,0.0058823529411764,0.0588235294117647
sample_355,0.0008510638297872,0.1009346430347526,0.0279658969991772,0.0010094064371607,2.092660553365539,-5.928926995350765,0.0724820623189034,47,51,0.0219607843137254,0.0784313725490196
sample_363,0.0008510638297872,0.159602059725173,0.0276467263637705,0.0009982440040536,2.090427103467585,-5.929637613209677,0.1453501510679182,47,51,0.028235294117647,0.0784313725490196
sample_901,0.0008510638297872,0.0208882752769568,0.0281697214159609,0.0010167838115114,2.0918026466696973,-5.92706306721377,0.0378822222018204,47,51,0.0315686274509803,0.0784313725490196
sample_674,0.0009090909090909,0.0280855724608558,0.008819553832211,7.436681765370605e-05,-2.48369642365073,4.2122514323027715,0.0442730714017245,11,12,0.0033333333333333,0.0833333333333333
sample_459,0.0009259259259259,0.2214217296277011,0.0781639868256747,0.0032451189431499,1.78383788182489,6.116145178747996,0.2057123969225855,54,57,0.0028070175438596,0.0526315789473684
sample_939,0.0010416666666666,0.1708004514627091,0.030539053154241,0.0011252806605642,2.0916165219267535,-5.921277391468692,0.157066441695493,48,51,0.0284313725490196,0.0588235294117647
sample_1078,0.001063829787234,0.1207966930321819,0.0278741664458147,0.0010053104404955,2.0937825711535227,-5.925329539808896,0.1330283636333973,47,52,0.0544230769230769,0.0961538461538461
sample_701,0.001063829787234,0.0603486557907245,0.0281026308021723,0.0010135704716202,2.091251165488416,-5.9264427705847815,0.0842690153895924,47,51,0.0264705882352941,0.0784313725490196
sample_116,0.001063829787234,0.083602268972935,0.0280326002999788,0.0010110051978302,2.09062603551523,-5.9269135576674,0.0941259037654876,47,51,0.022156862745098,0.0784313725490196
sample_1023,0.001063829787234,0.1482947093391007,0.0277224514629765,0.0010000222074755,2.0928088523359323,-5.923776642057607,0.1734618746681682,47,52,0.043076923076923,0.0961538461538461
sample_838,0.001063829787234,0.0115663407920277,0.0281762255255405,0.001016216863547,2.0923326858562814,-5.927475577916846,0.012505796198827,47,51,0.0364705882352941,0.0784313725490196
sample_218,0.0011111111111111,0.2828686621785055,0.0776020923868275,0.0032203504793586,1.784231996274534,6.117590372630181,0.2626769139544653,54,58,0.0220689655172413,0.0689655172413793
sample_642,0.0011320754716981,0.1143197058790908,0.0762753124894846,0.0031091348909724,1.7897393209869974,6.1191669464946195,0.1020181625588163,53,57,0.0414035087719298,0.0701754385964912
sample_214,0.0011538461538461,0.1864050708916753,0.0738986313675351,0.0029559590905638,1.7841349041627086,6.124037665288397,0.2008654652752053,52,57,0.0403508771929824,0.087719298245614
sample_1134,0.00125,0.099708942666403,0.0799004202359683,0.0009769719977718,-1.02095641288364,-1.098398087517071,0.0947506874014926,16,27,0.3677777777777777,0.4074074074074074
sample_1006,0.00125,0.1060879575552785,0.030904197511141,0.0011380370312367,2.089191163893976,-5.917238038900987,0.1265192377914074,48,51,0.0219607843137254,0.0588235294117647
sample_1241,0.0012765957446808,0.1106989832900593,0.0279218900659215,0.0010062192777137,2.0906432035931863,-5.928232047922811,0.1039665703336252,47,51,0.0294117647058823,0.0784313725490196
sample_1254,0.0012962962962962,0.3027866803415119,0.0773927960217652,0.0032099104281241,1.7821480278732786,6.119522254942052,0.2857055738243555,54,57,0.0236842105263157,0.0526315789473684
sample_785,0.0014583333333333,0.228534853107288,0.0300650011563384,0.0011060637564086,2.0897345544669856,-5.923525886097967,0.1961697937474211,48,51,0.0027450980392156,0.0588235294117647
sample_696,0.0014814814814814,0.323967061066675,0.0771472720645887,0.0031988248141854,1.7859577257964527,6.116023726834093,0.3148031229017986,54,57,0.0124561403508771,0.0526315789473684
sample_664,0.0014814814814814,0.2766281687255423,0.0776621044699698,0.003225162866426,1.77767490076973,6.117972705939123,0.2555947348422091,54,58,0.0210344827586206,0.0689655172413793
sample_11,0.0014893617021276,0.0456331325614843,0.0281354817579125,0.0010130776893008,2.0915612002910833,-5.926335813664466,0.0633377415001463,47,51,0.0323529411764705,0.0784313725490196
sample_1069,0.0014893617021276,0.221027081174792,0.0271596492085543,0.0009778216996762,2.0916111114063622,-5.931479864312586,0.1990008763261323,47,51,0.0307843137254901,0.0784313725490196
sample_1110,0.0014893617021276,0.2082979305679365,0.0272748522597235,0.0009819642361819,2.0948777964824665,-5.923695688667478,0.2210722203805081,47,51,0.0368627450980392,0.0784313725490196
sample_1208,0.0014893617021276,0.0710847725684094,0.0280736166985517,0.0010108970912911,2.093645930391846,-5.927174112862992,0.0708953634631308,47,52,0.0515384615384615,0.0961538461538461
sample_1014,0.0018181818181818,0.0531920611002924,0.0086469813684513,7.254297702184382e-05,-2.482536366407874,4.210216673558435,0.0734829420937635,11,13,0.0784615384615384,0.1538461538461538
sample_16,0.0019148936170212,0.1960635934348471,0.0273764410829384,0.0009840207167376,2.0945731992383263,-5.930121533042533,0.1763722680745319,47,50,0.0177999999999999,0.06
sample_887,0.002037037037037,0.2590426162548533,0.0778392691579006,0.0032238508512185,1.782994721592383,6.118328317503864,0.2341486352217053,54,58,0.0212068965517241,0.0689655172413793
sample_852,0.002037037037037,0.2238727723885375,0.0781387803479106,0.0032381631620856,1.7768639372972486,6.114285626059895,0.2241175557386561,54,57,0.0266666666666666,0.0526315789473684
sample_400,0.0023404255319148,0.0855668649574283,0.0280254470982039,0.0010059536715216,2.0907853444208575,-5.9264281841586115,0.105937166964905,47,51,0.0345098039215686,0.0784313725490196
sample_174,0.0024074074074074,0.1933677553696358,0.0783706689939967,0.0032432666451932,1.7831880400089026,6.11286981309324,0.2040967014778252,54,57,0.0163157894736842,0.0526315789473684
sample_1213,0.0025531914893617,0.105619741136963,0.0279476304978964,0.0010021999845594,2.0920483958137552,-5.924623353298534,0.1221859733339589,47,52,0.065,0.0961538461538461
sample_1048,0.0025531914893617,0.1662038933333567,0.0276020226839569,0.0009901991665407,2.0949725274032485,-5.925401783614629,0.1736978409996567,47,51,0.0427450980392156,0.0784313725490196
sample_794,0.0025531914893617,0.1055615119754967,0.0279460801446629,0.0010040996747606,2.092633161566383,-5.9290636917966815,0.088210696388761,47,51,0.0433333333333333,0.0784313725490196
