sampleID,cluster
sample_455,C
sample_456,A
sample_457,A
sample_458,A
sample_459,F
sample_460,A
sample_461,C
sample_462,C
sample_463,F
sample_464,A
sample_465,D
sample_466,A
sample_467,A
sample_468,B
sample_469,A
sample_470,F
sample_471,A
sample_472,A
sample_473,C
sample_474,E
sample_475,A
sample_476,A
sample_477,A
sample_478,A
sample_479,G
sample_480,C
sample_481,0
sample_482,A
sample_483,A
sample_484,B
sample_485,A
sample_486,A
sample_487,A
sample_488,C
sample_489,B
sample_490,C
sample_491,A
sample_492,A
sample_493,A
sample_494,A
sample_495,A
sample_496,A
sample_497,A
sample_498,A
sample_499,A
sample_500,A
sample_501,F
sample_502,A
sample_503,A
sample_504,B
sample_505,A
sample_506,A
sample_507,D
sample_508,C
sample_509,A
sample_510,A
sample_511,A
sample_512,A
sample_513,A
sample_514,B
sample_515,B
sample_516,A
sample_517,A
sample_518,C
sample_519,A
sample_520,B
sample_521,C
sample_522,B
sample_523,B
sample_524,A
sample_525,C
sample_526,A
sample_527,D
sample_528,C
sample_529,F
sample_530,A
sample_531,D
sample_532,A
sample_533,A
sample_534,A
sample_535,A
sample_536,B
sample_537,G
sample_538,B
sample_539,C
sample_540,A
sample_541,A
sample_542,A
sample_543,A
sample_544,A
sample_545,A
sample_546,B
sample_547,B
sample_548,F
sample_549,A
sample_550,B
sample_551,C
sample_552,D
sample_553,C
sample_554,A
sample_555,0
sample_556,A
sample_557,A
sample_558,C
sample_559,A
sample_560,B
sample_561,A
sample_562,A
sample_563,A
sample_564,A
sample_565,A
sample_566,B
sample_567,A
sample_568,A
sample_569,A
sample_570,B
sample_571,B
sample_572,0
sample_573,A
sample_574,A
sample_575,B
sample_576,A
sample_577,0
sample_578,C
sample_579,0
sample_580,A
sample_581,D
sample_582,A
sample_583,C
sample_584,B
sample_585,A
sample_586,A
sample_587,A
sample_588,0
sample_589,A
sample_590,D
sample_591,A
sample_592,A
sample_593,B
sample_594,B
sample_595,B
sample_596,A
sample_597,A
sample_598,A
sample_599,D
sample_600,C
sample_601,A
sample_602,A
sample_603,A
sample_604,A
sample_605,A
sample_606,D
sample_607,D
sample_608,F
sample_609,D
sample_610,D
sample_611,A
sample_612,D
sample_613,B
sample_614,D
sample_615,C
sample_616,B
sample_617,A
sample_618,B
sample_619,F
sample_620,B
sample_621,C
sample_622,D
sample_623,A
sample_624,0
sample_625,B
sample_626,B
sample_627,A
sample_628,D
sample_629,D
sample_630,B
sample_631,B
sample_632,B
sample_633,A
sample_634,D
sample_635,C
sample_636,A
sample_637,B
sample_638,D
sample_639,F
sample_640,C
sample_641,B
sample_642,F
sample_643,B
sample_644,A
sample_645,A
sample_646,B
sample_647,C
sample_648,D
sample_649,C
sample_650,A
sample_651,0
sample_652,D
sample_653,A
sample_654,B
sample_655,D
sample_656,D
sample_657,0
sample_658,B
sample_659,C
sample_660,F
sample_661,C
sample_662,0
sample_663,B
sample_664,F
sample_665,C
sample_666,D
sample_667,0
sample_668,F
sample_669,C
sample_670,B
sample_671,A
sample_672,C
sample_673,A
sample_674,G
sample_675,C
sample_676,C
sample_677,B
sample_678,D
sample_679,F
sample_680,A
sample_681,C
sample_682,C
sample_683,B
sample_684,G
sample_685,A
sample_686,0
sample_687,D
sample_688,B
sample_689,A
sample_690,B
sample_691,A
sample_692,B
sample_693,A
sample_694,F
sample_695,B
sample_696,F
sample_697,A
sample_698,C
sample_699,G
sample_700,A
sample_701,E
sample_702,F
sample_703,B
sample_704,A
sample_705,0
sample_706,0
sample_707,B
sample_708,A
sample_709,A
sample_710,A
sample_711,0
sample_712,A
sample_713,A
sample_714,A
sample_715,A
sample_716,D
sample_717,A
sample_718,F
sample_719,B
sample_720,B
sample_721,C
sample_722,A
sample_723,B
sample_724,C
sample_725,A
sample_726,A
sample_727,B
sample_728,A
sample_729,C
sample_730,A
sample_731,A
sample_732,A
sample_733,C
sample_734,F
sample_735,A
sample_736,A
sample_737,A
sample_738,C
sample_739,A
sample_740,A
sample_741,A
sample_742,A
sample_743,A
sample_744,A
sample_745,A
sample_746,C
sample_747,A
sample_748,F
sample_749,A
sample_750,B
sample_751,D
sample_752,A
sample_753,A
sample_754,B
sample_755,A
sample_756,B
sample_757,B
sample_758,A
sample_759,A
sample_760,C
sample_761,A
sample_762,A
sample_763,A
sample_764,B
sample_765,A
sample_766,A
sample_767,A
sample_768,A
sample_769,B
sample_770,B
sample_771,A
sample_772,A
sample_773,A
sample_774,F
sample_775,B
sample_776,B
sample_777,D
sample_778,B
sample_779,E
sample_780,B
sample_781,A
sample_782,A
sample_783,B
sample_784,D
sample_785,E
sample_786,A
sample_787,A
sample_788,C
sample_789,B
sample_790,E
sample_791,C
sample_792,C
sample_793,D
sample_794,E
sample_795,C
sample_796,A
sample_797,A
sample_798,A
sample_799,A
sample_800,A
sample_801,A
sample_802,F
sample_803,B
sample_804,B
sample_805,D
sample_806,B
sample_807,D
sample_808,D
sample_809,A
sample_810,A
sample_811,B
sample_812,F
sample_813,B
sample_814,B
sample_815,C
sample_816,B
sample_817,C
sample_818,B
sample_819,A
sample_820,D
sample_821,A
sample_822,B
sample_823,D
sample_824,D
sample_825,A
sample_826,B
sample_827,E
sample_828,A
sample_829,F
sample_830,F
sample_831,C
sample_832,B
sample_833,C
sample_834,A
sample_835,C
sample_836,0
sample_837,A
sample_838,E
sample_839,B
sample_840,A
sample_841,B
sample_842,A
sample_843,C
sample_844,C
sample_845,A
sample_846,D
sample_847,F
sample_848,A
sample_849,A
sample_850,C
sample_851,C
sample_852,F
sample_853,D
sample_854,B
sample_855,D
sample_856,C
sample_857,C
sample_858,C
sample_859,A
sample_860,D
sample_861,A
sample_862,0
sample_863,B
sample_864,B
sample_865,D
sample_866,A
sample_867,F
sample_868,C
sample_869,A
sample_870,C
sample_871,A
sample_872,A
sample_873,A
sample_874,F
sample_875,B
sample_876,A
sample_877,C
sample_878,A
sample_879,C
sample_880,B
sample_881,B
sample_882,A
sample_883,B
sample_884,C
sample_885,A
sample_886,A
sample_887,F
sample_888,A
sample_889,C
sample_890,A
sample_891,B
sample_892,D
sample_893,D
sample_894,0
sample_895,C
sample_896,D
sample_897,A
sample_898,C
sample_899,B
sample_900,D
sample_901,E
sample_902,B
sample_903,D
sample_904,E
sample_905,G
sample_906,D
sample_907,D
sample_908,B
sample_909,B
sample_910,B
sample_911,B
sample_912,A
sample_913,A
sample_914,B
sample_915,A
sample_916,A
sample_917,D
sample_918,A
sample_919,D
sample_920,A
sample_921,A
sample_922,A
sample_923,D
sample_924,B
sample_925,A
sample_926,A
sample_927,C
sample_928,B
sample_929,B
sample_930,D
sample_931,C
sample_932,A
sample_933,A
sample_934,B
sample_935,D
sample_936,C
sample_937,B
sample_938,D
sample_939,E
sample_940,C
sample_941,D
sample_942,A
sample_943,C
sample_944,0
sample_945,D
sample_946,B
sample_947,C
sample_948,C
sample_949,C
sample_950,B
sample_951,A
sample_952,A
sample_953,A
sample_954,A
sample_955,D
sample_956,D
sample_957,B
sample_958,A
sample_959,A
sample_960,C
sample_961,A
sample_962,A
sample_963,A
sample_964,C
sample_965,B
sample_966,C
sample_967,C
sample_968,B
sample_969,D
sample_970,A
sample_971,C
sample_972,A
sample_973,A
sample_974,B
sample_975,B
sample_976,B
sample_977,A
sample_978,A
sample_979,B
sample_980,F
sample_981,C
sample_982,A
sample_983,A
sample_984,B
sample_985,A
sample_986,C
sample_987,A
sample_988,B
sample_989,C
sample_990,B
sample_991,A
sample_992,D
sample_993,B
sample_994,E
sample_995,B
sample_996,B
sample_997,D
sample_998,A
sample_999,A
sample_1000,A
sample_1001,A
sample_1002,A
sample_1003,A
sample_1004,E
sample_1005,B
sample_1006,E
sample_1007,B
sample_1008,C
sample_1009,A
sample_1010,A
sample_1011,D
sample_1012,F
sample_1013,A
sample_1014,G
sample_1015,A
sample_1016,A
sample_1017,C
sample_1018,C
sample_1019,A
sample_1020,C
sample_1021,C
sample_1022,D
sample_1023,E
sample_1024,F
sample_1025,D
sample_1026,B
sample_1027,C
sample_1028,A
sample_1029,D
sample_1030,B
sample_1031,D
sample_1032,G
sample_1033,C
sample_1034,0
sample_1035,C
sample_1036,B
sample_1037,C
sample_1038,C
sample_1039,A
sample_1040,A
sample_1041,B
sample_1042,B
sample_1043,D
sample_1044,0
sample_1045,B
sample_1046,B
sample_1047,A
sample_1048,E
sample_1049,A
sample_1050,E
sample_1051,D
sample_1052,C
sample_1053,D
sample_1054,A
sample_1055,C
sample_1056,C
sample_1057,A
sample_1058,D
sample_1059,B
sample_1060,C
sample_1061,F
sample_1062,A
sample_1063,A
sample_1064,B
sample_1065,A
sample_1066,A
sample_1067,0
sample_1068,F
sample_1069,E
sample_1070,C
sample_1071,A
sample_1072,A
sample_1073,C
sample_1074,A
sample_1075,D
sample_1076,C
sample_1077,A
sample_1078,E
sample_1079,C
sample_1080,A
sample_1081,A
sample_1082,A
sample_1083,B
sample_1084,B
sample_1085,C
sample_1086,B
sample_1087,D
sample_1088,G
sample_1089,B
sample_1090,B
sample_1091,B
sample_1092,A
sample_1093,0
sample_1094,A
sample_1095,A
sample_1096,B
sample_1097,B
sample_1098,D
sample_1099,A
sample_1100,A
sample_1101,C
sample_1102,C
sample_1103,D
sample_1104,A
sample_1105,C
sample_1106,B
sample_1107,B
sample_1108,C
sample_1109,B
sample_1110,E
sample_1111,E
sample_1112,B
sample_1113,B
sample_1114,A
sample_1115,A
sample_1116,A
sample_1117,H
sample_1118,H
sample_1119,I
sample_1120,I
sample_1121,H
sample_1122,I
sample_1123,I
sample_1124,H
sample_1125,H
sample_1126,H
sample_1127,H
sample_1128,I
sample_1129,0
sample_1130,H
sample_1131,H
sample_1132,I
sample_1133,H
sample_1134,H
sample_1135,H
sample_1136,H
sample_1137,H
sample_1138,I
sample_1139,A
sample_1140,I
sample_1141,I
sample_1142,0
sample_1143,I
sample_1144,I
sample_1145,D
sample_1146,I
sample_1147,H
sample_1148,I
sample_1149,I
sample_1150,0
sample_1151,I
sample_1152,B
sample_1153,A
sample_1154,B
sample_1155,0
sample_1156,B
sample_1157,0
sample_1158,H
sample_1159,I
sample_1160,G
sample_1161,B
sample_1162,B
sample_1163,A
sample_1164,I
sample_1165,B
sample_1166,A
sample_1167,A
sample_1168,B
sample_1169,B
sample_1170,D
sample_1171,D
sample_1172,E
sample_1173,B
sample_1174,B
sample_1175,C
sample_1176,A
sample_1177,A
sample_1178,A
sample_1179,B
sample_1180,A
sample_1181,B
sample_1182,A
sample_1183,D
sample_1184,C
sample_1185,A
sample_1186,C
sample_1187,B
sample_1188,A
sample_1189,A
sample_1190,A
sample_1191,A
sample_1192,C
sample_1193,A
sample_1194,A
sample_1195,B
sample_1196,B
sample_1197,A
sample_1198,B
sample_1199,B
sample_1200,B
sample_1201,B
sample_1202,C
sample_1203,C
sample_1204,C
sample_1205,B
sample_1206,A
sample_1207,C
sample_1208,E
sample_1209,A
sample_1210,E
sample_1211,A
sample_1212,C
sample_1213,E
sample_1214,D
sample_1215,B
sample_1216,B
sample_1217,B
sample_1218,B
sample_1219,B
sample_1220,F
sample_1221,D
sample_1222,C
sample_1223,B
sample_1224,A
sample_1225,A
sample_1226,A
sample_1227,C
sample_1228,A
sample_1229,D
sample_1230,A
sample_1231,A
sample_1232,F
sample_1233,E
sample_1234,A
sample_1235,A
sample_1236,A
sample_1237,D
sample_1238,A
sample_1239,B
sample_1240,C
sample_1241,E
sample_1242,B
sample_1243,D
sample_1244,B
sample_1245,A
sample_1246,B
sample_1247,B
sample_1248,C
sample_1249,B
sample_1250,C
sample_1251,A
sample_1252,B
sample_1253,B
sample_1254,F
sample_1255,D
sample_1256,F
sample_1257,B
sample_1258,A
sample_1259,F
sample_1260,B
sample_1261,C
sample_1262,B
sample_1263,C
sample_1264,C
sample_1265,A
sample_1266,A
sample_1267,B
sample_1268,A
sample_1269,B
sample_1270,D
sample_1271,A
sample_1272,C
sample_1273,A
sample_1274,A
sample_1275,B
sample_1276,A
sample_1277,A
sample_1278,B
sample_1279,G
sample_1280,A
sample_1281,A
sample_1282,A
sample_1283,A
sample_1284,A
sample_1285,A
sample_1286,A
sample_1287,0
sample_1288,A
sample_1289,A
sample_1290,A
sample_1291,A
sample_1292,A
sample_1293,A
sample_1294,D
sample_1295,B
sample_1296,A
sample_1297,A
